game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
Kingpin : Life of Crime sur PC,19,17.5,8,99,Interplay,+16ans,PC,
Batman Arkham City sur PC,19,18.3,3,40,Rocksteady,Animation,PC,
Baldur's Gate II : Shadows of Amn sur PC,19,18.6,25,1,Interplay,+12ans,PC,
Splinter Cell sur PC,19,18.1,1,25,Ubisoft,Infiltration,PC,
The Witcher 3 : Wild Hunt sur PC,19,18.1,21,19,CDProjektRED,Fantastique,PC,
Rayman Origins sur PC,19,18,8,99,Ubisoft,Fantastique,PC,
Prince of Persia : Les Sables du Temps sur PC,19,17.6,2,99,UbisoftMontreal,Plate-Forme,PC,
Bioshock sur PC,19,18.1,19,99,2KGames,Steampunk,PC,
Myst sur PC,19,16.3,24,0,Cyan,Réflexion,PC,
Half-Life : Counter-Strike sur PC,19,18,20,0,Sierra,+16ans,PC,
Riven : La Suite de Myst sur PC,19,18.4,8,0,Ubisoft,Réflexion,PC,
Bioshock Infinite sur PC,19,17.5,9,82,2KGames,Steampunk,PC,
Dead Space 2 sur PC,19,17,7,90,VisceralGames,Survival-Horror,PC,
Arx Fatalis sur PC,19,17.2,24,0,JoWooD,+16ans,PC,
Ori and the Blind Forest sur PC,19,18.3,16,99,MoonStudio,Plate-Forme,PC,
Ether One sur PC,19,8.7,5,8,WhitePaperGames,Payantàl'acquisition,PC,
Dishonored sur PC,19,16.9,8,81,BethesdaSoftworks,Infiltration,PC,
Diablo sur PC,19,17.9,63,0,BlizzardEntertainment,1-4joueurs,PC,
Bayonetta sur PC,19,14.9,17,99,PlatinumGames,Beat'emAll,PC,
Minecraft sur PC,19,18.5,29,46,Mojang,OpenWorld,PC,
Quake III Arena sur PC,19,16.4,13,49,idSoftware,+16ans,PC,
Quake II sur PC,19,17.3,4,49,idSoftware,+16ans,PC,
Outcast sur PC,19,18.7,24,0,AppealSoftware,+3ans,PC,
Portal 2 sur PC,19,18.5,69,90,Valve,Cyberpunk,PC,
Divinity : Original Sin - Enhanced Edition sur PC,19,17.2,29,99,FocusHomeInteractive,HeroicFantasy,PC,
Dishonored 2 sur PC,19,15.9,10,0,BethesdaSoftworks,Infiltration,PC,
